id;nombre;apellidos;contacto;activo;sucursal_id
1;meanwhile;circumstance;debut;29799;28151
2;sting drum;supposing excluding catalysis;and go about;24718;27559
3;babysit oh;excluding exit paw;until shimmering;31536;26280
4;bull-fighter until;patronise abandon without;ray choose erupt;9544;10657
5;boast er;pfft zowie fiercely;eminent even ouch;12482;18266
6;curiously boohoo;from dish hm;playful live;5931;26780
7;overrule now;phooey;including industrialise who;4942;19737
8;ew why stick;hmph;within flat phooey;7754;22189
9;including;prestigious;broadly overjoyed brr;29162;26029
10;blissfully;who hungrily emitter;zowie till encourage;6803;19329
